year,stAbbr,cropName,coName,st_crop_yr_co_prem
1989,IA,CORN,Adair,726849
1989,IA,CORN,Adams,500489
1989,IA,CORN,All Other Counties,0
1989,IA,CORN,Allamakee,515355
1989,IA,CORN,Appanoose,278855
1989,IA,CORN,Audubon,780587
1989,IA,CORN,Benton,977636
1989,IA,CORN,Black Hawk,835145
1989,IA,CORN,Boone,1013970
1989,IA,CORN,Bremer,706015
1989,IA,CORN,Buchanan,1162181
1989,IA,CORN,Buena Vista,686014
1989,IA,CORN,Butler,763268
1989,IA,CORN,Calhoun,634645
1989,IA,CORN,Carroll,802697
1989,IA,CORN,Cedar,1129430
1989,IA,CORN,Cerro Gordo,973401
1989,IA,CORN,Cherokee,632825
1989,IA,CORN,Chickasaw,995005
1989,IA,CORN,Clarke,411001
1989,IA,CORN,Clay,689104
1989,IA,CORN,Clayton,1184118
1989,IA,CORN,Clinton,1498374
1989,IA,CORN,Crawford,1230931
1989,IA,CORN,Dallas,824589
1989,IA,CORN,Decatur,279417
1989,IA,CORN,Delaware,1722153
1989,IA,CORN,Des Moines,427305
1989,IA,CORN,Dickinson,381992
1989,IA,CORN,Dubuque,851530
1989,IA,CORN,E Pottawattamie,770965
1989,IA,CORN,Emmet,444346
1989,IA,CORN,Fayette,1445218
1989,IA,CORN,Floyd,735499
1989,IA,CORN,Franklin,837195
1989,IA,CORN,Fremont,842789
1989,IA,CORN,Greene,943335
1989,IA,CORN,Grundy,556740
1989,IA,CORN,Guthrie,576816
1989,IA,CORN,Hamilton,1032585
1989,IA,CORN,Hancock,638617
1989,IA,CORN,Hardin,827434
1989,IA,CORN,Harrison,1083170
1989,IA,CORN,Henry,584465
1989,IA,CORN,Howard,979676
1989,IA,CORN,Humboldt,470393
1989,IA,CORN,Ida,794291
1989,IA,CORN,Iowa,1099659
1989,IA,CORN,Jackson,783179
1989,IA,CORN,Jasper,1091552
1989,IA,CORN,Jefferson,599925
1989,IA,CORN,Johnson,719364
1989,IA,CORN,Jones,1097460
1989,IA,CORN,Keokuk,1051288
1989,IA,CORN,Kossuth,1164175
1989,IA,CORN,Lee,619401
1989,IA,CORN,Linn,869641
1989,IA,CORN,Louisa,593461
1989,IA,CORN,Lucas,329156
1989,IA,CORN,Lyon,707850
1989,IA,CORN,Madison,654236
1989,IA,CORN,Mahaska,907128
1989,IA,CORN,Marion,595998
1989,IA,CORN,Marshall,917910
1989,IA,CORN,Mills,746690
1989,IA,CORN,Mitchell,1126774
1989,IA,CORN,Monona,673968
1989,IA,CORN,Monroe,260447
1989,IA,CORN,Montgomery,579738
1989,IA,CORN,Muscatine,623775
1989,IA,CORN,O Brien,466296
1989,IA,CORN,Osceola,455921
1989,IA,CORN,Page,665845
1989,IA,CORN,Palo Alto,660912
1989,IA,CORN,Plymouth,1378449
1989,IA,CORN,Pocahontas,735393
1989,IA,CORN,Polk,631858
1989,IA,CORN,Poweshiek,766223
1989,IA,CORN,Ringgold,408408
1989,IA,CORN,Sac,852452
1989,IA,CORN,Scott,647282
1989,IA,CORN,Shelby,1280738
1989,IA,CORN,Sioux,1059652
1989,IA,CORN,Story,1247429
1989,IA,CORN,Tama,887427
1989,IA,CORN,Taylor,528584
1989,IA,CORN,Union,400092
1989,IA,CORN,Van Buren,337571
1989,IA,CORN,W Pottawattamie,790588
1989,IA,CORN,Wapello,443855
1989,IA,CORN,Warren,772554
1989,IA,CORN,Wayne,460580
1989,IA,CORN,Webster,876403
1989,IA,CORN,Winnebago,504014
1989,IA,CORN,Winneshiek,764608
1989,IA,CORN,Woodbury,1350122
1989,IA,CORN,Worth,572193
1989,IA,SOYBEANS,Adair,311299
1989,IA,SOYBEANS,All Other Counties,0
1989,IA,SOYBEANS,Allamakee,8781
1989,IA,SOYBEANS,Appanoose,142142
1989,IA,SOYBEANS,Audubon,212849
1989,IA,SOYBEANS,Benton,564184
1989,IA,SOYBEANS,Black Hawk,349718
1989,IA,SOYBEANS,Boone,509088
1989,IA,SOYBEANS,Bremer,187037
1989,IA,SOYBEANS,Buchanan,234754
1989,IA,SOYBEANS,Buena Vista,378581
1989,IA,SOYBEANS,Butler,234193
1989,IA,SOYBEANS,Calhoun,384646
1989,IA,SOYBEANS,Carroll,232286
1989,IA,SOYBEANS,Cass,377629
1989,IA,SOYBEANS,Cedar,327998
1989,IA,SOYBEANS,Cerro Gordo,351270
